Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
0,0,0,0,-150.7100067,384.5799866,-31.21999931,0,0,0
0,0,0,0,-151.3399963,368.3399963,-33.52999878,0,0,0
0,0,0,0,-68.38999939,-63.84000015,-17.43000031,0,0,0
0,0,0,0,-66.15000153,-53.27000046,-17.36000061,0,0,0
0,0,0,0,-64.54000092,-43.68000031,-17.14999962,0,0,0
0,0,0,0,-62.22999954,-37.24000168,-17.0702,0,0,0
0,0,0,0,-59.08000183,-32.97000122,-17.21999931,0,0,0
0,0,0,0,-55.43999863,-29.54000092,-17.92000008,0,0,0
0,0,0,0,-52.22000122,-26.31999969,-18.40999985,0,0,0
0,0,0,0,-49.42000198,-22.88999939,-18.76000023,0,0,0
0,0,0,0,-46.06000137,-19.87999916,-19.04000092,0,0,0
0,0,0,0,16.30999947,-2.450000048,-9.93999958,0,0,0
0,0,0,0,17.92000008,0.34094,-9.239999771,0,0,0
0,0,0,0,19.67000008,1.190000057,-8.18999958,0,0,0
0,0,0,0,20.15999985,3.150000095,-7.34005,0,0,0
0,0,0,0,20.86000061,4.26081,-6.650000095,0,0,0
0,0,0,0,22.12000084,5.110000134,-5.110000134,0,0,0
0,0,0,0,22.81999969,5.179999828,-4.05043,0,0,0
0,0,0,0,24.29000092,5.670000076,-2.940000057,0,0,0
